quote;date;month;year
Le message lancé par les Beatles sur la pochette britannique de leur album Help! est en fait « Nujv ! »;2017-02-12;2;2017
Marie-Louise d’Autriche et Napoléon Ier ont vécu leur nuit de noces six jours avant de passer devant le prêtre (tableau).;2017-02-12;2;2017
Le président de la République française est la seule personne autorisée à entrer à cheval dans la basilique Saint-Jean-de-Latran (photo) de Rome.;2017-02-12;2;2017
Ennemis lors de la Seconde Guerre mondiale, l’URSS (puis la Russie en tant qu’État continuateur) et le Japon n’ont toujours pas signé de traité de paix.;2017-02-12;2;2017
En 1834, condamné pour avoir caricaturé Louis-Philippe en poire, Le Charivari publia le jugement sous forme d’un calligramme (image) de même apparence.;2017-02-13;2;2017
Stephen Stigler attribue à Robert King Merton la découverte de la loi de Stigler, selon laquelle « une découverte scientifique ne porte jamais le nom de son auteur ».;2017-02-13;2;2017
Le petit-duc maculé (photo) adopte parfois des petits serpents aveugles.;2017-02-13;2;2017
Par la chaleur qu’il dégage, d’environ 70 watts, un adulte au repos est comparable à une lampe à incandescence classique.;2017-02-13;2;2017
Chez les chauves-souris de l’espèce Cynopterus sphinx (photo), la fellation se pratique pendant la copulation.;2017-02-14;2;2017
L’oreille du capitaine Robert Jenkins a donné son nom à une guerre.;2017-02-14;2;2017
Les quatre éléments traditionnels, la Terre, l’Eau, l’Air et le Feu (sculpture), peuvent être rapprochés des quatre états les plus courants de la matière, respectivement solide, liquide, gazeux et plasma.;2017-02-14;2;2017
Aux États-Unis, en 2002, moins d’un Arabe sur quatre était musulman.;2017-02-14;2;2017
Le funiculaire de Fribourg (photo) fonctionne avec les eaux usées de la ville.;2017-02-15;2;2017
Charles de Gaulle est le premier co-prince français d’Andorre à s’être déplacé dans la principauté après Henri IV.;2017-02-15;2;2017
D’après une étude de 2008, moins de 50 % des Français possèdent une bible (photo) chez eux, contre 85 % des Polonais et 93 % des Américains.;2017-02-15;2;2017
La part des fonds d’investissement étrangers dans le capital des groupes français du CAC 40 est passé d’environ 5 % en 1985 à un peu moins de la moitié à la fin des années 1990.;2017-02-15;2;2017
La France était le premier exportateur mondial d’électricité en 2013.;2017-02-16;2;2017
Selon certaines méthodes de sommation, 1 + 2 + 3 + 4 + ⋯ = -1/12;2017-02-16;2;2017
Nikolaï Korotkov a conçu la méthode qui permet de mesurer la pression artérielle à l’oreille (photo).;2017-02-16;2;2017
Le décryptage par le mathématicien François Viète (portrait) de messages codés espagnols valut au roi Henri IV des accusations de magie et de commerce avec le Diable.;2017-02-16;2;2017
Les Capétiens ont donné une centaine de rois, dont une bonne trentaine à la France et presque autant au Portugal.;2017-02-17;2;2017
Avant de devenir une république islamique, l’Iran possédait une constitution d’inspiration belge.;2017-02-17;2;2017
L’architecte de la tour Eiffel est Stephen Sauvestre (portrait).;2017-02-17;2;2017
Repoussé par plusieurs éditeurs, Marcel Proust dut publier le premier tome d’À la recherche du temps perdu (premières pages) à compte d’auteur.;2017-02-17;2;2017
Le Ruby Roman (photo), cultivé au Japon, est réputé être le raisin le plus cher du monde.;2017-02-18;2;2017
En 1756, Jean-Jacques Rousseau s’inquiétait du « danger d’émouvoir une fois les masses énormes qui composent la monarchie française » et jugeait « imprudent » de « toucher » au gouvernement alors en place.;2017-02-18;2;2017
La machine à câlin a été inventée par la zootechnicienne autiste Temple Grandin (photo), qui s’en servait pour calmer ses angoisses.;2017-02-18;2;2017
En 1966, la Cour suprême de l’Inde a défini le cadre de la foi hindoue.;2017-02-18;2;2017
Le moine russe saint Germain d’Alaska (icône) est considéré par de nombreux orthodoxes américains comme le saint patron de l’Amérique du Nord.;2017-02-19;2;2017
La taille de son pénis a valu à Jonah Falcon (photo) d’être contrôlé à l’aéroport international de San Francisco comme porteur d’un paquet suspect.;2017-02-19;2;2017
En Suisse, de 1981 à 2011, la consommation d’eau par habitant a baissé de 30 % pour passer à 350 litres par jour environ.;2017-02-19;2;2017
Au début des années 1960, Robert Hue, futur secrétaire national du Parti communiste français, fonda un groupe de rock sous le nom de Willie Balton, emprunté à un soldat américain.;2017-02-19;2;2017
Mise en service en 1969, la centrale nucléaire de Beznau (photo), située dans le canton d’Argovie en Suisse, est depuis 2012 la plus ancienne en activité au monde.;2017-02-20;2;2017
À l’origine de l’abolition de l’esclavage aux États-Unis, Abraham Lincoln indiquait « désire[r], tout autant qu’un autre, que la race blanche occupe la position supérieure ».;2017-02-20;2;2017
Théophane de Poltava (photo), archevêque orthodoxe qui contribua à introduire Raspoutine à la cour du tsar, acheva sa vie en ermite dans une habitation troglodytique des bords de Loire.;2017-02-20;2;2017
Les yéyés doivent leur nom à Edgar Morin.;2017-02-20;2;2017
Elinor Ostrom (portrait), co-récipiendaire en 2009 du 41e « prix Nobel » d’économie, demeure en 2016 la seule femme à avoir reçu cette distinction.;2017-02-21;2;2017
Dans la phrase « Tire la chevillette, la bobinette cherra » extraite du Petit Chaperon rouge, « cherra » est la troisième personne du singulier du verbe « choir » conjugué au futur simple.;2017-02-21;2;2017
La stabilité du regard pendant un mouvement de la tête est assurée par un mouvement réflexe des globes oculaires.;2017-02-22;2;2017
Le X lunaire (au centre de la photo) est un effet de clair-obscur créé par l’illumination rasante de la région des cratères Blanchinus, La Caille et Purbach par le Soleil.;2017-02-22;2;2017
Pied humide de Clotilde Bizolon.Lyon comptait 91 pieds humides en 1902 (photo).;2017-02-22;2;2017
Le nom  d’Obélix vient peut-être, comme celui d’Astérix, du vocabulaire professionnel du grand-père de Goscinny, imprimeur-typographe.;2017-02-22;2;2017
Au Venezuela, il existe une pièce de douze centimes et demi (photo).;2017-02-23;2;2017
Les Émirats arabes unis sont dirigés par un président.;2017-02-23;2;2017
En 1561, Antoine Caraccioli devint le premier et le dernier évêque protestant de France, sans cesser d’être évêque catholique de Troyes.;2017-02-23;2;2017
En 2000, les îles Tuvalu (carte) ont reçu 50 millions de dollars en échange d’un bail de 12 ans pour l’utilisation de leur nom de domaine géographique, très prisé des chaînes de télévision : .tv.;2017-02-23;2;2017
La pratique consistant à lécher un crapaud buffle (photo) pour obtenir des hallucinations peut s’avérer mortelle.;2017-02-24;2;2017
Paul Lesbazeilles est essentiellement connu pour avoir été major de l’agrégation de philosophie en 1881, juste devant Henri Bergson et Jean Jaurès.;2017-02-24;2;2017
Kristen Stewart (photo) est devenue en 2015 la première actrice américaine nommée pour un César du cinéma et, à cette occasion, la première à en recevoir un (hors César d’honneur).;2017-02-24;2;2017
Clipperton, atoll français inhabité du Pacifique Nord, a le seul lagon d’eau douce de la planète.;2017-02-24;2;2017
Pablo Iglesias Turrión, fondateur et leader de Podemos qui s’est donné pour but de supplanter le Parti socialiste ouvrier espagnol, doit son prénom au fondateur de ce dernier, Pablo Iglesias Posse (portrait).;2017-02-25;2;2017
L’US Air Force a envisagé une « bombe gay » qui causerait un comportement homosexuel chez l’ennemi.;2017-02-25;2;2017
